X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-79.854268,43.259266,"0","0","214",86.7,2025/10/26 01:35:53+00,,,,,,,,,,,,,,,,,,,,,
-79.85426,43.259262,"0","0","215",86.7,2025/10/26 01:35:54+00,,,,,,,,,,,,,,,,,,,,,
-79.854252,43.259257,"0","0","216",86.7,2025/10/26 01:35:55+00,,,,,,,,,,,,,,,,,,,,,
-79.854245,43.259252,"0","0","217",86.7,2025/10/26 01:35:56+00,,,,,,,,,,,,,,,,,,,,,
-79.854237,43.259248,"0","0","218",86.7,2025/10/26 01:35:57+00,,,,,,,,,,,,,,,,,,,,,
-79.854225,43.259245,"0","0","219",86.7,2025/10/26 01:35:58+00,,,,,,,,,,,,,,,,,,,,,
-79.854196,43.259238,"0","0","220",86.7,2025/10/26 01:35:59+00,,,,,,,,,,,,,,,,,,,,,
-79.854183,43.259235,"0","0","221",86.7,2025/10/26 01:36:00+00,,,,,,,,,,,,,,,,,,,,,
-79.854169,43.259232,"0","0","222",86.7,2025/10/26 01:36:01+00,,,,,,,,,,,,,,,,,,,,,
-79.854142,43.259224,"0","0","223",86.7,2025/10/26 01:36:02+00,,,,,,,,,,,,,,,,,,,,,
-79.854133,43.259221,"0","0","224",86.7,2025/10/26 01:36:03+00,,,,,,,,,,,,,,,,,,,,,
-79.854123,43.259218,"0","0","225",86.7,2025/10/26 01:36:04+00,,,,,,,,,,,,,,,,,,,,,
-79.85411,43.259214,"0","0","226",86.8,2025/10/26 01:36:05+00,,,,,,,,,,,,,,,,,,,,,
-79.854099,43.25921,"0","0","227",86.8,2025/10/26 01:36:06+00,,,,,,,,,,,,,,,,,,,,,
-79.854088,43.259207,"0","0","228",86.8,2025/10/26 01:36:07+00,,,,,,,,,,,,,,,,,,,,,
-79.854075,43.259203,"0","0","229",86.9,2025/10/26 01:36:08+00,,,,,,,,,,,,,,,,,,,,,
